@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "RING"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                  -1
@ ENERGY           %le         0.050510999
@ PC               %le       0.05050841415
@ GAMMA            %le         98.84756353
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         17.98669224
@ ALFA             %le       0.01237158129
@ ORBIT5           %le                  -0
@ GAMMATR          %le         8.990573451
@ Q1               %le         3.169924559
@ Q2               %le         1.639867572
@ DQ1              %le    -4.587991066e-07
@ DQ2              %le    -0.0003414292291
@ DXMAX            %le        0.8779488017
@ DYMAX            %le                   0
@ XCOMAX           %le     2.814074604e-08
@ YCOMAX           %le                   0
@ BETXMAX          %le         10.69826929
@ BETYMAX          %le         10.51826779
@ XCORMS           %le     8.015080893e-09
@ YCORMS           %le                   0
@ DXRMS            %le        0.4072537423
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %11s "Ring ThomX "
@ ORIGIN           %16s "5.02.02 Linux 64"
@ DATE             %08s "22/09/15"
@ TIME             %08s "18.13.26"
* NAME                                S               BETX               BETY               ALFX               ALFY                 DX                DPX 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "SEPT_RIGHT"                8.33124612        4.730833632         2.62809667       0.1428084531       0.2703439436     0.002321615764    -2.43259925e-09
 "SD51"                      8.99334612        4.636280156        2.449101975   -2.928469542e-09   -5.081554012e-08     0.002321614831    -2.43259925e-09
 "SEPT_MID"                  8.99334612        4.636280156        2.449101975   -2.928469542e-09   -5.081554012e-08     0.002321614831    -2.43259925e-09
 "SD51"                      9.65544612         4.73083364        2.628096804      -0.1428084589      -0.2703440452     0.002321613898    -2.43259925e-09
 "SEPT_LEFT"                 9.65544612         4.73083364        2.628096804      -0.1428084589      -0.2703440452     0.002321613898    -2.43259925e-09
 "SD52"                      9.79334612        4.774321866         2.71042234      -0.1725521322       -0.326650399     0.002321613704    -2.43259925e-09
 "QP1"                       9.94334613         5.33196512        2.546860154       -3.669071203        1.380202068     0.002439533085     0.001585434491
 "SD2"                      10.15334613        6.992589093        2.017475895       -4.238661872        1.140675317     0.002772474683     0.001585434491
 "QP2"                      10.30334614        6.797795977         2.10218415        5.446114105       -1.743959754     0.002719199566    -0.002283434399
 "SD32"                     10.58022114        4.127769467        3.215278336        4.197322343       -2.276244916      0.00208697355    -0.002283434399
 "KICK_INJ"                 10.78022114         2.62925286        4.202675304        3.295260573       -2.660739842     0.001630286585    -0.002283434399
 "SD32"                     11.05709614        1.150261512        5.823436472        2.046468811       -3.193025004    0.0009980605682    -0.002283434399
 "COE"                      11.05709614        1.150261512        5.823436472        2.046468811       -3.193025004    0.0009980605682    -0.002283434399
 "DIP"                      11.33355614       0.1341965307        8.158273227       0.8400813147       -5.514896652       0.1032410006       0.7035232903
 "COS"                      11.33355614       0.1341965307        8.158273227       0.8400813147       -5.514896652       0.1032410006       0.7035232903
 "SD3S2"                    11.45855614        0.122781449        9.597162735       -0.748760663       -5.996219183        0.191181415       0.7035232903
 "SX1"                      11.45855714       0.1227829465        9.597174728      -0.7487733677       -5.996223499       0.1911821185        0.703523281
 "SD3S"                     11.53355714        0.306596844        10.51826779       -1.702078549       -6.285017061       0.2439463664        0.703523281
 "QP31"                     11.68355715        1.318225894         9.55842691       -5.640542871        12.09526633       0.3881097406        1.261864323
 "SD3S"                     11.75855715         2.30433528        7.830818241       -7.507582011        10.93951546       0.4827495683        1.261864323
 "SX3"                      11.75855815        2.304350295        7.830796362       -7.507606784        10.93949963       0.4827508301        1.261864298
 "SD3S1"                    11.89855815        4.894399794        5.069772616        -10.9927464        8.782098154       0.6594118382        1.261864298
 "QP41"                     12.04855816        7.407207471        3.505526355       -4.653003472        2.317166559       0.7791622325       0.3087069148
 "SD1S1"                    12.29355816        9.870729199        2.479175344       -5.402187054        1.872021156       0.8547954292       0.3087069148
 "SX2"                      12.29355916        9.870740004          2.4791716       -5.402190781        1.872019507       0.8547957379       0.3087069727
 "SD1S"                     12.36855916        10.69826929        2.208588845       -5.631532749        1.735750487       0.8779487616       0.3087069727
 "QP4"                      12.51855917        8.858973174        2.444486374        16.47626747       -3.482134148       0.7770984705       -1.615193281
 "SD2"                      12.72855917        3.295284386        4.143770285        10.01748812       -4.609693832       0.4379078689       -1.615193281
 "QP3"                      12.87855918        1.710444287        3.851990364        1.913792191        6.289750588       0.2692966837      -0.7070189665
 "SD3"                      13.11355918       0.9615030166        1.477319689        1.273191874        3.815230802         0.10314722      -0.7070189665
 "COE"                      13.11355918       0.9615030166        1.477319689        1.273191874        3.815230802         0.10314722      -0.7070189665
 "DIP"                      13.39001918       0.2014667001       0.2002905658       0.8860036181        0.947530278     6.16681313e-05    8.331035084e-09
 "COS"                      13.39001918       0.2014667001       0.2002905658       0.8860036181        0.947530278     6.16681313e-05    8.331035084e-09
 "SD0"                      13.49001918       0.1128663462       0.1055375316   -1.004077028e-07    4.031402963e-08    6.166942312e-05    8.331035084e-09
 "SD0"                      13.59001918       0.2014667403       0.2002905496       -0.886003819      -0.9475301974    6.167071494e-05    8.331035084e-09
 "COE"                      13.59001918       0.2014667403       0.2002905496       -0.886003819      -0.9475301974    6.167071494e-05    8.331035084e-09
 "DIP"                      13.86647918       0.9615031012        1.477319629       -1.273191833        -3.81523069       0.1031472278       0.7070189731
 "COS"                      13.86647918       0.9615031012        1.477319629       -1.273191833        -3.81523069       0.1031472278       0.7070189731
 "SD3"                      14.10147918         1.71044434        3.851990266       -1.913792072       -6.289750461       0.2692966962       0.7070189731
 "QP3"                      14.25147919        3.295284424        4.143770191       -10.01748804        4.609693697       0.4379078889        1.615193328
 "SD2"                      14.46147919        8.858973196        2.444486318       -16.47626727        3.482134042       0.7770985081        1.615193328
 "QP4"                       14.6114792        10.69826925          2.2085888        5.631532987       -1.735750479       0.8779488017      -0.3087070168
 "SD1S"                      14.6864792        9.870739927        2.479171557        5.402190998       -1.872019502       0.8547957739      -0.3087070168
 "SX2"                       14.6864802        9.870729122        2.479175301        5.402186655       -1.872020997       0.8547954652      -0.3087069055
 "SD1S1"                     14.9314802        7.407207546         3.50552623        4.653003167       -2.317166352       0.7791622686      -0.3087069055
 "QP41"                     15.08148021        4.894399909        5.069772404        10.99274633       -8.782097657       0.6594118693       -1.261864333
 "SD3S1"                    15.22148021        2.304350397        7.830796014        7.507606809         -10.939499       0.4827508519       -1.261864333
 "SX3"                      15.22148121        2.304335382        7.830817893        7.507582131       -10.93951515         0.48274959       -1.261864378
 "SD3S"                     15.29648121        1.318225969         9.55842653        5.640542999       -12.09526602       0.3881097559       -1.261864378
 "QP31"                     15.44648122       0.3065968823        10.51826743        1.702078632        6.285016682       0.2439463713      -0.7035233187
 "SD3S"                     15.52148122       0.1227829677        9.597174415       0.7487734929        5.996223142       0.1911821191      -0.7035233187
 "SX1"                      15.52148222       0.1227814701        9.597162422       0.7487607904        5.996218648       0.1911814156      -0.7035233315
 "SD3S2"                    15.64648222       0.1341965118        8.158273028      -0.8400811208        5.514896182       0.1032409937      -0.7035233315
 "COE"                      15.64648222       0.1341965118        8.158273028      -0.8400811208        5.514896182       0.1032409937      -0.7035233315
 "DIP"                      15.92294222         1.15026142        5.823436302       -2.046468713        3.193024893    0.0009980429584     0.002283426161
 "COS"                      15.92294222         1.15026142        5.823436302       -2.046468713        3.193024893    0.0009980429584     0.002283426161
 "SD31"                     16.67669222        6.797795879        2.102184068       -5.446114074        1.743959669     0.002719175254     0.002283426161
 "QP2"                      16.82669223        6.992589009        2.017475821        4.238661776       -1.140675299     0.002772451851    -0.001585409448
 "SD2"                      17.03669223        5.331965048        2.546860084        3.669071115       -1.380202058     0.002439516184    -0.001585409448
 "QP1"                      17.18669224        4.774321804        2.710422276       0.1725520931       0.3266503595     0.002321600159    1.734651578e-08
 "SD5"                      17.98669224        4.636280156        2.449101975   -3.904082629e-08    6.092230698e-09     0.002321614831    1.734651578e-08
 "RING$END"                 17.98669224        4.636280156        2.449101975   -3.904082629e-08    6.092230698e-09     0.002321614831    1.734651578e-08
